Sequence,A or a,E or e,I or i,O or o,U or u,Consonants
WfBhSHK,0,0,0,0,0,7
bwclRrYdZ,0,0,0,0,0,9
DfitlsvP,0,0,1,0,0,7
rSbaQZVwOM,1,0,0,1,0,8
XVMuGv,0,0,0,0,1,5
GDIUuZjvC,0,0,1,0,2,6
KMjlYpFevJ,0,1,0,0,0,9
MkiRjFD,0,0,1,0,0,6
uUkEDPoAW,1,1,0,1,2,4
jVguMizxq,0,0,1,0,1,7
VTECPQl,0,1,0,0,0,6
PWIHjtvOk,0,0,1,1,0,7
pMPBDR,0,0,0,0,0,6
xfXRmn,0,0,0,0,0,6
HIJEmsDg,0,1,1,0,0,6
IdfRuvj,0,0,1,0,1,5
rDwAVkofM,1,0,0,1,0,7
JRNAhm,1,0,0,0,0,5
ligPTGQe,0,1,1,0,0,6
srCLwV,0,0,0,0,0,6
nubgwRZK,0,0,0,0,1,7
mjOylVQMw,0,0,0,1,0,8
twrUAZ,1,0,0,0,1,4
MpUetE,0,2,0,0,1,3
kMrXse,0,1,0,0,0,5
bcsDmfR,0,0,0,0,0,7
CsFzXgSf,0,0,0,0,0,8
eDQCGp,0,1,0,0,0,5
vrcTImYKwZ,0,0,1,0,0,9
KLFRxkjHdI,0,0,1,0,0,9
evICAW,1,1,1,0,0,3
STWHYU,0,0,0,0,1,5
yUPBmcoz,0,0,0,1,1,6
eqAyDQBja,2,1,0,0,0,6
AhGYJoRrP,1,0,0,1,0,7
oBdhpqi,0,0,1,1,0,5
QZljuLV,0,0,0,0,1,6
owiZsgCFG,0,0,1,1,0,7
OMFJyu,0,0,0,1,1,4
QcMakt,1,0,0,0,0,5
DGjFgamiBE,1,1,1,0,0,7
FLsvEr,0,1,0,0,0,5
miwnPsGM,0,0,1,0,0,7
XRjJMBzq,0,0,0,0,0,8
ySzeEXIr,0,2,1,0,0,5
uVzMErNcH,0,1,0,0,1,7
SsnZNYKLM,0,0,0,0,0,9
mqCzNL,0,0,0,0,0,6
nhypafjW,1,0,0,0,0,7
mqUJCEv,0,1,0,0,1,5
Povxwa,1,0,0,1,0,4
rAeIlX,1,1,1,0,0,3
AVCQGhY,1,0,0,0,0,6
zTrDos,0,0,0,1,0,5
TCAVDl,1,0,0,0,0,5
XZuWnAR,1,0,0,0,1,5
zNLiEc,0,1,1,0,0,4
OhXmrI,0,0,1,1,0,4
iMQpyHOc,0,0,1,1,0,6
PdpBKlsZ,0,0,0,0,0,8
uhtaKlw,1,0,0,0,1,5
XgMTUQadxo,1,0,0,1,1,7
tELRHIV,0,1,1,0,0,5
CDpUbls,0,0,0,0,1,6
GkUKnlIm,0,0,1,0,1,6
pUzMjP,0,0,0,0,1,5
gxKCsR,0,0,0,0,0,6
DxjZrBJg,0,0,0,0,0,8
BDWcwe,0,1,0,0,0,5
rtsUZdx,0,0,0,0,1,6
GeXuOVJRqi,0,1,1,1,1,6
UzVxslrf,0,0,0,0,1,7
qvsOyxG,0,0,0,1,0,6
XbvMRcJ,0,0,0,0,0,7
PTRDsrpYE,0,1,0,0,0,8
eAIcxvaQy,2,1,1,0,0,5
tGfInh,0,0,1,0,0,5
zuQtwlM,0,0,0,0,1,6
EzHhtDf,0,1,0,0,0,6
vRAEYH,1,1,0,0,0,4
heRMqnEuWr,0,2,0,0,1,7
oFOJHYXp,0,0,0,2,0,6
DawRjmQiJ,1,0,1,0,0,7
DwzdRVOrk,0,0,0,1,0,8
lLWsTQ,0,0,0,0,0,6
gwHdoa,1,0,0,1,0,4
rhfdDF,0,0,0,0,0,6
kWjdzh,0,0,0,0,0,6
nNufbY,0,0,0,0,1,5
aoinZNq,1,0,1,1,0,4
ZSvhxJ,0,0,0,0,0,6
kRPmeHqF,0,1,0,0,0,7
viUbNz,0,0,1,0,1,4
uazRNdcKtb,1,0,0,0,1,8
elMOtEokHa,1,2,0,2,0,5
WpZYULy,0,0,0,0,1,6
GITzHEQ,0,1,1,0,0,5
EIXRrt,0,1,1,0,0,4
fxABGSHgNq,1,0,0,0,0,9
fyEMND,0,1,0,0,0,5
sGOEUm,0,1,0,1,1,3
pucCMgt,0,0,0,0,1,6
fYgkNbE,0,1,0,0,0,6
zElaNB,1,1,0,0,0,4
ivyqDhzk,0,0,1,0,0,7
dTkNsJMeA,1,1,0,0,0,7
AwWnEP,1,1,0,0,0,4
bTcfpN,0,0,0,0,0,6
QCKwvus,0,0,0,0,1,6
FjrCUeqAJk,1,1,0,0,1,7
rDEeIZ,0,2,1,0,0,3
RIjKcUnbv,0,0,1,0,1,7
JcFjdou,0,0,0,1,1,5
RucdanMkZ,1,0,0,0,1,7
LxeWqnpHri,0,1,1,0,0,8
NCKRJHh,0,0,0,0,0,7
xrzOFjwgc,0,0,0,1,0,8
NHejGXOfB,0,1,0,1,0,7
fumMlxH,0,0,0,0,1,6
rwWFEJ,0,1,0,0,0,5
ydVouDkXiZ,0,0,1,1,1,7
ogEQxbSf,0,1,0,1,0,6
usrAEHN,1,1,0,0,1,4
lPDzeFWifM,0,1,1,0,0,8
idWXsPB,0,0,1,0,0,6
DZIaKMerm,1,1,1,0,0,6
EqbVRLa,1,1,0,0,0,5
MLQAgZ,1,0,0,0,0,5
qiamXUn,1,0,1,0,1,4
OCfaDIzA,2,0,1,1,0,4
UBJPKMT,0,0,0,0,1,6
jYgIfutc,0,0,1,0,1,6
ZAsIRp,1,0,1,0,0,4
YmRjquUS,0,0,0,0,2,6
rbsRTvXcqw,0,0,0,0,0,10
JpiUWdLAZ,1,0,1,0,1,6
CQxkbdoED,0,1,0,1,0,7
wZhHfaOvG,1,0,0,1,0,7
lxisVdQMj,0,0,1,0,0,8
OnLAMEzoa,2,1,0,2,0,4
UojXMrg,0,0,0,1,1,5
hLnGTpmw,0,0,0,0,0,8
jykETrJnw,0,1,0,0,0,8
TjKDwELUe,0,2,0,0,1,6
NtzJpC,0,0,0,0,0,6
FWlymAr,1,0,0,0,0,6
UOkGsMw,0,0,0,1,1,5
uFcpET,0,1,0,0,1,4
HhbeCTdXDU,0,1,0,0,1,8
tLnOAgKlV,1,0,0,1,0,7
fiGzJBnLI,0,0,2,0,0,7
LSPDtmXdeN,0,1,0,0,0,9
TSDyiAL,1,0,1,0,0,5
TYgxcKHOs,0,0,0,1,0,8
pXEGjdznF,0,1,0,0,0,8
OgGZKLRVPB,0,0,0,1,0,9
VIBDpXWbR,0,0,1,0,0,8
gMDNuXbZp,0,0,0,0,1,8
nBDLlvd,0,0,0,0,0,7
DmPUuwvfM,0,0,0,0,2,7
HKqbwS,0,0,0,0,0,6
LkmzbeYiNA,1,1,1,0,0,7
cnaBHTY,1,0,0,0,0,6
kJdfPDqglh,0,0,0,0,0,10
HGYiJtu,0,0,1,0,1,5
WDgPeC,0,1,0,0,0,5
ZvyHGB,0,0,0,0,0,6
RJqtmAUL,1,0,0,0,1,6
ZkDpAy,1,0,0,0,0,5
UHTGIt,0,0,1,0,1,4
bpgBwUlk,0,0,0,0,1,7
SZoJqRjx,0,0,0,1,0,7
bzcBsR,0,0,0,0,0,6
rBJtUf,0,0,0,0,1,5
MXdUeJ,0,1,0,0,1,4
KyhbnkS,0,0,0,0,0,7
OfqNanJLs,1,0,0,1,0,7
VhnIDkHi,0,0,2,0,0,6
awMWAIiX,2,0,2,0,0,4
pqJjhafc,1,0,0,0,0,7
QanIhYv,1,0,1,0,0,5
XMsilb,0,0,1,0,0,5
KWOCqwMY,0,0,0,1,0,7
xMAKIl,1,0,1,0,0,4
sDRofu,0,0,0,1,1,4
RlkEDv,0,1,0,0,0,5
tbDMVCTj,0,0,0,0,0,8
AtDGNCBp,1,0,0,0,0,7
BJiRIHvwgn,0,0,2,0,0,8
mZPJie,0,1,1,0,0,4
OiYpcNs,0,0,1,1,0,5
cqwjZSt,0,0,0,0,0,7
pnTGKVMQ,0,0,0,0,0,8
olUKphkf,0,0,0,1,1,6
LYxPiG,0,0,1,0,0,5
LwoGQSCkB,0,0,0,1,0,8
usBxdb,0,0,0,0,1,5
yDUqgHj,0,0,0,0,1,6
SVItly,0,0,1,0,0,5
wsWAtnR,1,0,0,0,0,6
SsWGxQ,0,0,0,0,0,6
LOYAkvR,1,0,0,1,0,5
dIwmZgUO,0,0,1,1,1,5
UGLizvJPOg,0,0,1,1,1,7
iFjZaQ,1,0,1,0,0,4
CuOQEeqw,0,2,0,1,1,4
sfFtRorW,0,0,0,1,0,7
WhQrTA,1,0,0,0,0,5
FZJjeQ,0,1,0,0,0,5
pDxzUYGyWu,0,0,0,0,2,8
NYRsOCkTp,0,0,0,1,0,8
bHRLhxIuaV,1,0,1,0,1,7
yQoqPgRw,0,0,0,1,0,7
dRwUGkf,0,0,0,0,1,6
vFRUljS,0,0,0,0,1,6
LUhfQWtnFc,0,0,0,0,1,9
DSOMxcQ,0,0,0,1,0,6
ctKhawSfP,1,0,0,0,0,8
ipBlMKjJWR,0,0,1,0,0,9
RgoDseAZdY,1,1,0,1,0,7
HAIFJjG,1,0,1,0,0,5
ObZMDfhx,0,0,0,1,0,7
hdbEvPFCeA,1,2,0,0,0,7
veFDgCKZ,0,1,0,0,0,7
uRhjKai,1,0,1,0,1,4
syJSQIYj,0,0,1,0,0,7
FtrmqQN,0,0,0,0,0,7
cNmGvuOsy,0,0,0,1,1,7
agTUpStdXc,1,0,0,0,1,8
diGVHM,0,0,1,0,0,5
hjWqtD,0,0,0,0,0,6
IbENle,0,2,1,0,0,3
IVgFOx,0,0,1,1,0,4
lkUYuy,0,0,0,0,2,4
sqgAHVIY,1,0,1,0,0,6
syiWKowMN,0,0,1,1,0,7
qOmbIijaCg,1,0,2,1,0,6
BiDRLu,0,0,1,0,1,4
OxLFpui,0,0,1,1,1,4
ZnAWIop,1,0,1,1,0,4
cMvsLzdGr,0,0,0,0,0,9
sJmlIyLPrV,0,0,1,0,0,9
RBMtkK,0,0,0,0,0,6
sorbRCge,0,1,0,1,0,6
MKkQPqVt,0,0,0,0,0,8
iCpxvjz,0,0,1,0,0,6
KDNPMgz,0,0,0,0,0,7
TLXFcIP,0,0,1,0,0,6
AFuJtWjcGf,1,0,0,0,1,8
bPmWntqBsJ,0,0,0,0,0,10
viutBZ,0,0,1,0,1,4
qIBHMN,0,0,1,0,0,5
DfvWywPjnR,0,0,0,0,0,10
YqZMozJQ,0,0,0,1,0,7
NJcAejS,1,1,0,0,0,5
YvSJXo,0,0,0,1,0,5
JSbIWwQkm,0,0,1,0,0,8
gKLRpOvfyG,0,0,0,1,0,9
oJrHcC,0,0,0,1,0,5
bCzujmTk,0,0,0,0,1,7
YEkUGt,0,1,0,0,1,4
jraRbO,1,0,0,1,0,4
KoEYOdm,0,1,0,2,0,4
mBfMWwvJ,0,0,0,0,0,8
oUIbxzl,0,0,1,1,1,4
xzYnKaQq,1,0,0,0,0,7
nYTfSzhRDG,0,0,0,0,0,10
RLEVTWZ,0,1,0,0,0,6
ZTMaDAE,2,1,0,0,0,4
fVqAPY,1,0,0,0,0,5
DJuERMz,0,1,0,0,1,5
IymFCQKH,0,0,1,0,0,7
GkqKNO,0,0,0,1,0,5
uazRsfOgv,1,0,0,1,1,6
xTZkINCGhf,0,0,1,0,0,9
yCZOJS,0,0,0,1,0,5
dximyP,0,0,1,0,0,5
bTFMqN,0,0,0,0,0,6
AIcmBn,1,0,1,0,0,4
njQKIUVN,0,0,1,0,1,6
DaGEOH,1,1,0,1,0,3
LEgikS,0,1,1,0,0,4
gcufakr,1,0,0,0,1,5
nMNaAzV,2,0,0,0,0,5
stXzHbha,1,0,0,0,0,7
EdHezxfYC,0,2,0,0,0,7
nlAJDsVj,1,0,0,0,0,7
sLvOHQ,0,0,0,1,0,5
TKbLJcgA,1,0,0,0,0,7
dGmnIzkpuj,0,0,1,0,1,8
HDTCdf,0,0,0,0,0,6
kIvfuPYGFe,0,1,1,0,1,7
JWnZiDz,0,0,1,0,0,6
mQRjBWtf,0,0,0,0,0,8
ZqYuITam,1,0,1,0,1,5
ziLeqnh,0,1,1,0,0,5
csbylrfL,0,0,0,0,0,8
aePlQkmT,1,1,0,0,0,6
DTSmHNpeq,0,1,0,0,0,8
SJHeTmj,0,1,0,0,0,6
KzlQmC,0,0,0,0,0,6
NSkJqGPzDr,0,0,0,0,0,10
TnpsbGUd,0,0,0,0,1,7
UhNrLFB,0,0,0,0,1,6
HWaLnM,1,0,0,0,0,5
NgfjMJKGH,0,0,0,0,0,9
BmduUYoGt,0,0,0,1,2,6
OBIFoQgwSn,0,0,1,2,0,7
ErLHUhSXqi,0,1,1,0,1,7
yGhAtRJp,1,0,0,0,0,7
eTSIGEW,0,2,1,0,0,4
Hatonz,1,0,0,1,0,4
FDtzWp,0,0,0,0,0,6
pBYCOkl,0,0,0,1,0,6
QijxNP,0,0,1,0,0,5
tTBkNWUIE,0,1,1,0,1,6
VvMzPZ,0,0,0,0,0,6
jugvofktQa,1,0,0,1,1,7
XWcwkazM,1,0,0,0,0,7
aTroGLj,1,0,0,1,0,5
InZbOfEy,0,1,1,1,0,5
aWmRDsY,1,0,0,0,0,6
mDbdKI,0,0,1,0,0,5
rUlPjCkY,0,0,0,0,1,7
FOoLha,1,0,0,2,0,3
TNrsei,0,1,1,0,0,4
LOafMcmibG,1,0,1,1,0,7
yCXVEwt,0,1,0,0,0,6
dqhBwS,0,0,0,0,0,6
TqulsA,1,0,0,0,1,4
wtDXhCZBp,0,0,0,0,0,9
wHWcCz,0,0,0,0,0,6
tEruZU,0,1,0,0,2,3
hYzTfwypJU,0,0,0,0,1,9
yFHqOh,0,0,0,1,0,5
GItBPDs,0,0,1,0,0,6
LpKlFAkR,1,0,0,0,0,7
SbJyET,0,1,0,0,0,5
tkKPDX,0,0,0,0,0,6
ZbmNfyGl,0,0,0,0,0,8
LwRfaDiVbU,1,0,1,0,1,7
FEewoXmY,0,2,0,1,0,5
DrdksaupF,1,0,0,0,1,7
iHBJNtYapl,1,0,1,0,0,8
KSZjrNQ,0,0,0,0,0,7
AKRncxeXvI,1,1,1,0,0,7
qoEHgwftlG,0,1,0,1,0,8
YgNztU,0,0,0,0,1,5
QLoPUHa,1,0,0,1,1,4
tApbJhS,1,0,0,0,0,6
uFzpRWLMwQ,0,0,0,0,1,9
WGPphnTZ,0,0,0,0,0,8
GVBjmoOs,0,0,0,2,0,6
EYIsByF,0,1,1,0,0,5
ojuxImn,0,0,1,1,1,4
MyrxKJOtq,0,0,0,1,0,8
ylOpCfhXd,0,0,0,1,0,8
CviYOKTp,0,0,1,1,0,6
ndjAmLk,1,0,0,0,0,6
eoSJTi,0,1,1,1,0,3
fdEAlwNFZ,1,1,0,0,0,7
rledKS,0,1,0,0,0,5
QuXLdMTtN,0,0,0,0,1,8
IhYVAWM,1,0,1,0,0,5
AKwZkXQo,1,0,0,1,0,6
